Game,Console,Until
.DETUNED,PS3,TBD
A BOY AND HIS BLOB,PS4,TBD
ABZÛ,PS4,TBD
ACES OF THE LUFTWAFFE,PS4,TBD
ACT IT OUT! A GAME OF CHARADES,PS4,TBD
ACTION HENK,PS4,TBD
ADVENTURE TIME: PIRATES OF THE ENCHIRIDION,PS4,TBD
AGATHA CHRISTIE - THE ABC MURDERS,PS4,TBD
AIR CONFLICTS VIETNAM ULTIMATE EDITION,PS4,TBD
AIR CONFLICTS: PACIFIC CARRIERS,PS4,TBD
ALCHEMIC JOUSTS,PS4,TBD
ALEX KIDD IN THE MIRACLE WORLD,PS3,TBD
ALEX KIDD IN THE MIRACLE WORLD,PS4,TBD
ALIEN RAGE ,PS3,TBD
ALIEN RAGE ,PS4,TBD
ALIEN SPIDY ,PS3,TBD
ALIEN SPIDY ,PS4,TBD
ALIENATION,PS4,TBD
ALTERED BEAST,PS3,TBD
ALTERED BEAST,PS4,TBD
AMAZING DISCOVERIES IN OUTER SPACE,PS4,TBD
ANARCHY: RUSH HOUR,PS3,TBD
ANARCHY: RUSH HOUR,PS4,TBD
ANNA EXTENDED EDITION,PS3,TBD
ANNA EXTENDED EDITION,PS4,TBD
ANODYNE,PS4,TBD
ANOMALY 2,PS4,TBD
ANOMALY WARZONE EARTH,PS3,TBD
ANOMALY WARZONE EARTHAPE ESCAPE 2 (PS2 Classics),PS2/PS4,TBD
AQUA PANIC!,PS4,TBD
AQUA PANIC! ,PS3,TBD
AR NOSURGE: ODE TO AN UNBORN STAR,PS3,TBD
AR NOSURGE: ODE TO AN UNBORN STAR,PS4,TBD
ARAGAMI,PS4,TBD
ARC THE LAD: TWILIGHT OF THE SPIRITS (PS2 Classics) ,PS2/PS4,TBD
ARCANA HEART 3,PS3,TBD
ARCANA HEART 3,PS4,TBD
ARCANIA THE COMPLETE TALE,PS3,TBD
ARCANIA THE COMPLETE TALE,PS4,TBD
ARMAGEDDON RIDERS,PS3,TBD
ARMAGEDDON RIDERS,PS4,TBD
ASSAULT SUIT LEYNOS,PS4,TBD
ASSETTO CORSA,PS4,TBD
ASURA'S WRATH,PS3,TBD
ASURA'S WRATH,PS4,TBD
ATARI FLASHBACK CLASSICS VOL 1,PS4,TBD
ATARI FLASHBACK CLASSICS VOL. 2,PS4,TBD
ATELIER AYESHA: THE ALCHEMIST OF DUSK,PS3,TBD
ATELIER AYESHA: THE ALCHEMIST OF DUSK,PS4,TBD
ATELIER ESCHA & LOGY - ALCHEMISTS OF THE DUST SKY,PS3,TBD
ATELIER ESCHA & LOGY - ALCHEMISTS OF THE DUST SKY,PS4,TBD
ATELIER RORONA PLUS: THE ALCHEMIST OF ARLAND,PS3,TBD
ATELIER RORONA PLUS: THE ALCHEMIST OF ARLAND,PS4,TBD
ATELIER SHALLIE - ALCHEMISTS OF THE DUSK SEA,PS3,TBD
ATELIER SHALLIE - ALCHEMISTS OF THE DUSK SEA,PS4,TBD
BACK TO BED,PS4,TBD
BAJA: EDGE OF CONTROL HD,PS4,TBD
BARD'S GOLD,PS4,TBD
BASEBALL RIOT,PS4,TBD
BATMAN - THE TELLTALE SERIES - EPISODE 1: REALM OF SHADOWS,PS4,TBD
BATMAN: ARKHAM ASYLUM GAME OF THE YEAR,PS3,TBD
BATMAN: ARKHAM CITY,PS3,TBD
BATMAN: ARKHAM ORIGINS,PS3,TBD
BATTALION COMMANDER,PS4,TBD
BATTLE CHASERS: NIGHTWAR,PS4,TBD
BATTLE PRINCESS OF ARCADIAS,PS3,TBD
BATTLE VS CHESS,PS3,TBD
BATTLE WORLDS KRONOS,PS4,TBD
BATTLEBORN,PS4,TBD
BATTLEFIELD 4,PS3,TBD
BATTLEFIELDTM HARDLINE,PS3,TBD
BEN 10,PS4,TBD
BENTLEY'S HACKPACK,PS3,TBD
BEYOND: TWO SOULS,PS4,TBD
BIG SKY:INFINITY ,PS3,TBD
BINARIES,PS4,TBD
BIONIC COMMANDO REARMED,PS3,TBD
BIONIC COMMANDO REARMED 2,PS3,TBD
BIOSHOCK,PS3,TBD
BIOSHOCK 2,PS3,TBD
BIOSHOCK INFINITE,PS3,TBD
BLACK KNIGHT SWORD,PS3,TBD
BLACK MIRROR,PS4,TBD
BLADESTORM -  NIGHTMARE,PS3,TBD
BLADESTORM: THE HUNDRED YEARS' WAR,PS3,TBD
BLAST 'EM BUNNIES,PS4,TBD
BLAZBLUE CALAMITY TRIGGER,PS3,TBD
BLAZBLUE CHRONOPHANTASMA,PS3,TBD
BLAZBLUE CHRONOPHANTASMA EXTEND,PS4,TBD
BLAZBLUE CONTINUUM SHIFT,PS3,TBD
BLAZBLUE CONTINUUM SHIFT EXTEND,PS3,TBD
BLAZERUSH,PS3,TBD
BLOOD BOWL 2,PS4,TBD
BLOOD KNIGHTS,PS3,TBD
BLOODBORNE,PS4,TBD
BLOODRAYNE BETRAYAL,PS3,TBD
BODYCOUNT,PS3,TBD
BOKOSUKA WARS II,PS4,TBD
BOLT ,PS3,TBD
BOMBERMAN ULTRA,PS3,TBD
BORDERLANDS 2 ULTIMATE EDITION,PS3,TBD
BORDERLANDS GAME OF THE YEAR EDITION ,PS3,TBD
BORDERLANDS: THE HANDSOME COLLECTION,PS4,TBD
BORDERLANDS: THE PRE-SEQUEL ULTIMATE EDITION,PS3,TBD
BOUND,PS4,TBD
BOUND BY FLAME,PS4,TBD
BRAID,PS3,TBD
BRAWLOUT,PS4,TBD
BRINK ,PS3,TBD
BROKEN AGE,PS4,TBD
BROTHERS: A TALE OF TWO SONS,PS4,TBD
BRUT@L,PS4,TBD
BUBSY: THE WOOLIES STRIKE BACK,PS4,TBD
CAPCOM ARCADE CABINET,PS3,TBD
CARMAGEDDON: MAX DAMAGE,PS4,TBD
CARS MATER-NATIONAL,PS3,TBD
CARS RACE-O-RAMA,PS3,TBD
CASTLE INVASION: THRONE OUT,PS4,TBD
CASTLESTORM DEFINITIVE EDITION,PS4,TBD
CASTLEVANIA LORDS OF SHADOW,PS3,TBD
CASTLEVANIA: HARMONY OF DISPAIR,PS3,TBD
CASTLEVANIA: LORDS OF SHADOW - MIRROR OF FATE HD,PS3,TBD
CASTLEVANIA: LORDS OF SHADOW 2,PS3,TBD
CATHERINE,PS3,TBD
CEL DAMAGE HD ,PS3,TBD
CHAMPION JOCKEY: G1 JOCKEY & GALLOP RACER,PS3,TBD
CHESS ULTRA,PS4,TBD
CHRONICLES OF TEDDY: HARMONY OF EXIDUS,PS4,TBD
CITIES: SKYLINES,PS4,TBD
CLOCKWORK TALES: OF GLASS AND INK,PS4,TBD
CLOUDS & SHEEP 2,PS4,TBD
CONTROL,PS4,TBD
COSTUME QUEST 2,PS4,TBD
COUNTERSPY,PS4,TBD
CRASH COMMANDO,PS3,TBD
CRAZY TAXI,PS3,TBD
CRIMSONLAND,PS4,TBD
CRITTER CRUNCH,PS3,TBD
CROIXLEUR SIGMA,PS4,TBD
CUBOID,PS3,TBD
DAMNATION,PS3,TBD
DANDARA,PS4,TBD
DANGER ZONE,PS4,TBD
DANGEROUS GOLF,PS4,TBD
DARK ARCANA: THE CARNIVAL,PS4,TBD
DARK CHRONICLE (PS2 Classics),PS2/PS4,TBD
DARK CLOUD (PS2 Classics),PS2/PS4,TBD
DARK MIST,PS3,TBD
DARK VOID,PS3,TBD
DARKSIDERS 2 DEATHINITIVE EDITION,PS4,TBD
DARKSIDERS: WARMASTERED EDITION,PS4,TBD
DARKSTALKERS RESURRECTION,PS3,TBD
DAY OF THE TENTACLE REMASTERED,PS4,TBD
DAYTONA USA ,PS3,TBD
DE BLOB,PS4,TBD
DE BLOB 2,PS3,TBD
DEAD ISLAND DEFINITIVE EDITION,PS4,TBD
DEAD ISLAND RETRO REVENGE,PS4,TBD
DEAD ISLAND: RIPTIDE,PS3,TBD
DEAD NATION: APOCALYPSE EDITION,PS4,TBD
DEAD OR ALIVE 5 LAST ROUND,PS3,TBD
DEAD OR ALIVE 5 ULTIMATE,PS3,TBD
DEAD SPACE 3,PS3,TBD
DEADLIGHT DIRECTOR'S CUT,PS4,TBD
DEADLY PREMONITION: DIRECTORS CUT,PS3,TBD
DEATH TRACK: RESURRECTION,PS3,TBD
DECEPTION IV: BLOOD TIES,PS3,TBD
DECEPTION IV: THE NIGHTMARE PRINCESS,PS3,TBD
DEFENSE GRID 2,PS4,TBD
DESERT CHILD,PS4,TBD
DESTROY ALL HUMANS! (PS2 Classics),PS2/PS4,TBD
DEVIL MAY CRY 4,PS3,TBD
DEVIL MAY CRY HD COLLECTION,PS3,TBD
DIRT 4,PS4,TBD
DIRT RALLY,PS4,TBD
DISGAEA 3: ABSENCE OF JUSTICE,PS3,TBD
DISGAEA 4: A PROMISE UNFORGOTTEN,PS3,TBD
DISGAEA 5: ALLIANCE OF VENGEANCE,PS4,TBD
DISGAEA D2: A BRIGHTER DARKNESS,PS3,TBD
DISHONORED,PS3,TBD
DISHONORED 2,PS4,TBD
DISNEY EPIC MICKEY: THE POWER OF TWO,PS3,TBD
DISNEY PIXAR BRAVE,PS3,TBD
DISNEY PIXAR CARS 2 THE VIDEOGAME,PS3,TBD
DISNEY PIXAR TOY STORY MANIA!,PS3,TBD
DISNEY UNIVERSE ULTIMATE EDITION,PS3,TBD
DOKI-DOKI UNIVERSE,PS4,TBD
DON BRADMAN CRICKET 14,PS3,TBD
"DON'T DIE, MR. ROBOT!",PS4,TBD
DOOM,PS4,TBD
DOUBLE DRAGON NEON,PS3,TBD
DUKE NUKEM FOREVERDYNASTY WARRIORS 6,PS3,TBD
DUNGEONS 2,PS4,TBD
DYNAMITE FISHING - WORLD GAMES,PS4,TBD
DYNASTY WARRIORS 6 EMPIRES,PS3,TBD
DYNASTY WARRIORS 7,PS3,TBD
DYNASTY WARRIORS 7 EMPIRES,PS3,TBD
DYNASTY WARRIORS 7 XTREME LEGENDS,PS3,TBD
DYNASTY WARRIORS 8,PS3,TBD
DYNASTY WARRIORS 8: XTREME LEGENDS,PS3,TBD
DYNASTY WARRIORS: STRIKEFORCE,PS3,TBD
EARTH DEFENSE FORCE 4.1: THE SHADOW OF NEW DESPAIR,PS4,TBD
EARTH'S DAWN,PS4,TBD
EAT THEM! ,PS3,TBD
ECHOCHROME,PS3,TBD
ELECTRONIC SUPER JOY ,PS4,TBD
ELEFUNK,PS3,TBD
ENIGMATIS 2: THE MISTS OF RAVENWOOD,PS4,TBD
ENIGMATIS: THE GHOSTS OF MAPLE CREEK,PS4,TBD
ENTWINED,PS4,TBD
ESCAPE PLAN,PS4,TBD
ETHAN: METEOR HUNTER,PS3,TBD
EUFLORIA ,PS3,TBD
EVE: VALKYRIE - WARZONE,PS4,TBD
EVENTIDE: SLAVIC FABLE,PS4,TBD
EVERYBODY'S GOLF,PS3,TBD
EVERYBODY'S GOLF: WORLD TOUR,PS3,TBD
EVERYBODY'S GONE TO THE RAPTURE,PS4,TBD
EVERYBODY'S TENNIS (PS2 Classics),PS2/PS4,TBD
EXILE'S END,PS4,TBD
EXIST ARCHIVE: THE OTHER SIDE OF THE SKY,PS4,TBD
EXTREME EXORCISM,PS4,TBD
F.E.A.R. FIRST ENCOUNTER ASSAULT RECON,PS3,TBD
F1 2014 ,PS3,TBD
F1 2015,PS4,TBD
F1 2016,PS4,TBD
F1 2017,PS4,TBD
F1 2019,PS4,TBD
F1 RACE STARS,PS3,TBD
FAERY : LEGENDS OF AVALON ,PS3,TBD
FAIRY FENCER F ADVENT DARK FORCE,PS4,TBD
FALLOUT 3 ,PS3,TBD
FALLOUT 4,PS4,TBD
FALLOUT: NEW VEGAS ,PS3,TBD
FANTAVISION (PS2 Classics),PS2/PS4,TBD
FARMING SIMULATOR 15,PS4,TBD
FARMING SIMULATOR 17,PS4,TBD
FARMING SIMULATOR 19,PS4,TBD
FAT PRINCESS ADVENTURES,PS4,TBD
FIGHTING VIPERS,PS3,TBD
FINAL EXAM ,PS3,TBD
FINAL FIGHT: DOUBLE IMPACT,PS3,TBD
FLOW,PS3,TBD
FLOWER,PS3,TBD
FLUSTER CLUCK,PS4,TBD
FOR HONOR                   ,PS4,TBD
FORBIDDEN SIREN (PS2 Classics),PS2/PS4,TBD
FROGGER RETURNS,PS3,TBD
G-FORCE,PS3,TBD
GAL*GUN: DOUBLE PEACE,PS4,TBD
GAROU: MARK OF THE WOLVES,PS4,TBD
GEM SMASHERS,PS4,TBD
GENJI: DAYS OF THE BLADE ,PS3,TBD
GET EVEN,PS4,TBD
GIANA SISTERS: TWISTED DREAMS - DIRECTOR'S CUT,PS4,TBD
GO! PUZZLE ,PS3,TBD
GOD EATER 2: RAGE BURST,PS4,TBD
GOD OF WAR HD,PS3,TBD
GOD OF WAR II HD,PS3,TBD
GOD OF WAR: ASCENSION,PS3,TBD
GOD OF WAR: CHAINS OF OLYMPUS ,PS3,TBD
GOD OF WAR: GHOST OF SPARTA ,PS3,TBD
GOD OF WAR® III REMASTERED,PS4,TBD
GOLDEN AXE,PS3,TBD
GRAND AGES: MEDIEVAL,PS4,TBD
GRAND KINGDOM,PS4,TBD
GRAVITY CRASH ,PS3,TBD
GRAVITY RUSH 2,PS4,TBD
GRAVITY RUSH REMASTERED,PS4,TBD
GREG HASTINGS PAINTBALL 2,PS3,TBD
GRID 2,PS3,TBD
GRID AUTOSPORT,PS3,TBD
GRIM FANDANGO REMASTERED,PS4,TBD
GRIM LEGENDS: THE FORSAKEN BRIDE,PS4,TBD
GUACAMELEE!,PS3,TBD
GUILTY GEAR XRD -REVELATOR-,PS4,TBD
HAKUOKI: STORIES OF THE SHINSENGUMI,PS3,TBD
HAMILTON'S GREAT ADVENTURE,PS3,TBD
HAMSTERBALL,PS3,TBD
HARDWARE: RIVALS,PS4,TBD
HEAVENLY SWORD,PS3,TBD
HEAVY FIRE AFGHANISTAN,PS3,TBD
HEAVY RAIN,PS4,TBD
HOHOKUM,PS4,TBD
HOLLOW KNIGHT,PS4,TBD
HOTEL TRANSYLVANIA 3 MONSTERS OVERBOARD,PS4,TBD
HOUSE OF THE DEAD 4  ,PS3,TBD
HOW TO SURVIVE - STORM WARNING EDITION,PS4,TBD
HUNTED: THE DEMON'S FORGE ,PS3,TBD
HUNTER'S TROPHY 2 - AMERICA ,PS3,TBD
HUNTER'S TROPHY 2 - AUSTRALIA,PS3,TBD
HUSTLE KINGS,PS3,TBD
I AM BREAD,PS4,TBD
"I, ZOMBIE",PS4,TBD
IBB & OBB,PS3,TBD
ICO CLASSICS HD ,PS3,TBD
IN SPACE WE BRAWL ,PS4,TBD
INFAMOUS,PS3,TBD
INFAMOUS 2,PS3,TBD
INFAMOUS: FESTIVAL OF BLOOD,PS3,TBD
INJUSTICE: GODS AMONG US ULTIMATE EDITION,PS3,TBD
INSIDE MY RADIO,PS4,TBD
INVIZIMALS THE LOST KINGDOM,PS3,TBD
IRONCAST,PS4,TBD
JETPACK JOYRIDE DELUXE,PS3,TBD
JOE DANGER 2: THE MOVIE,PS3,TBD
JOE DEVER'S LONE WOLF,PS4,TBD
JOURNEY ,PS3,TBD
JUDGE DEE - THE CITY GOD CASE,PS3,TBD
KICKBEAT SPECIAL EDITION,PS4,TBD
KILLZONE 2,PS3,TBD
KILLZONE 3,PS3,TBD
KILLZONE: SHADOW FALL,PS4,TBD
KILLZONE ,PS3,TBD
KINETICA (PS2 Classics),PS2/PS4,TBD
KING ODDBALL,PS4,TBD
KINGDOM: NEW LANDS,PS4,TBD
KNACK,PS4,TBD
KNYTT UNDERGROUND,PS3,TBD
KRINKLE KRUSHER,PS4,TBD
KROMAIA Ω,PS4,TBD
KUNG FU RABBIT,PS3,TBD
LEARNING WITH THE POOYOOS - EPISODE 1,PS3,TBD
LEGASISTA,PS3,TBD
LEGEND OF KAY ANNIVERSARY,PS4,TBD
LEGO BATMAN 2: DC SUPER HEROES,PS3,TBD
LEGO BATMAN 3: BEYOND GOTHAM,PS4,TBD
LEGO BATMAN: THE VIDEOGAME,PS3,TBD
LEGO HARRY POTTER: YEARS 1-4,PS3,TBD
LEGO HARRY POTTER: YEARS 5-7,PS3,TBD
LEGO STAR WARSTM III: THE CLONE WARSTM,PS3,TBD
LEGO STAR WARSTM: THE COMPLETE SAGA,PS3,TBD
LEGO WORLDS,PS4,TBD
LEGO® DISNEY PIRATES OF THE CARIBBEAN THE VIDEOGAME,PS3,TBD
LEGO® INDIANA JONESTM 2: THE ADVENTURE CONTINUES,PS3,TBD
LEGO® INDIANA JONESTM: THE ORIGINAL ADVENTURES,PS3,TBD
LEMMINGS,PS3,TBD
LEO'S FORTUNE,PS4,TBD
LIMBO,PS4,TBD
LINGER IN SHADOWS,PS3,TBD
LITTLEBIGPLANET 3,PS3,TBD
LITTLEBIGPLANET 3,PS4,TBD
LOCK'S QUEST,PS4,TBD
LOCOROCO COCORECCHO,PS3,TBD
LOCOROCO REMASTERED,PS4,TBD
LONE SURVIVOR: THE DIRECTOR'S CUT,PS4,TBD
LORDS OF THE FALLEN,PS4,TBD
LOST PLANET,PS3,TBD
LOST PLANET 2,PS3,TBD
LOST PLANET 3,PS3,TBD
LOST SEA,PS4,TBD
LOVELY PLANET,PS4,TBD
LUMO,PS4,TBD
MACHINARIUM,PS3,TBD
MAFIA 2,PS3,TBD
MAFIA III,PS4,TBD
MAGIC ORBZ,PS3,TBD
MAGICKA 2,PS4,TBD
MAGUS,PS3,TBD
MAHJONG TALES : ANCIENT WISDOM,PS3,TBD
MALICIOUS FALLEN,PS4,TBD
MANTIS BURN RACING,PS4,TBD
MARS: WAR LOGS ,PS3,TBD
MARVEL'S SPIDER-MAN,PS4,TBD
MASTERCUBE,PS4,TBD
MEGA MAN 10,PS3,TBD
MEGA MAN 9,PS3,TBD
MEGADIMENSION NEPTUNIA VII,PS4,TBD
METAL GEAR RISING: REVENGEANCE,PS3,TBD
METAL GEAR SOLID GROUND ZEROES,PS4,TBD
METAL GEAR SOLID HD COLLECTION,PS3,TBD
METAL GEAR SOLID V: THE PHANTOM PAIN,PS4,TBD
METAL SLUG 3,PS4,TBD
METRO 2033 REDUX,PS4,TBD
METRO EXODUS,PS4,TBD
METRO: LAST LIGHT REDUX,PS4,TBD
MINUTES,PS4,TBD
MIRROR'S EDGE,PS3,TBD
MITSURUGI KAMUI HIKAE,PS4,TBD
MOMONGA PINBALL ADVENTURES,PS4,TBD
MONKEY ISLAND 2 SPECIAL EDITION: LECHUCK’S REVENGE,PS3,TBD
MONSTER ENERGY SUPERCROSS,PS4,TBD
MORDHEIM - CITY OF THE DAMNED,PS4,TBD
MORTAL KOMBAT KOMPLETE EDITION,PS3,TBD
MOTOGP 15,PS3,TBD
MOTOGP 17,PS4,TBD
MOTORCYCLE CLUB,PS3,TBD
MOTORSTORM APOCALYPSE,PS3,TBD
MOTORSTORM RC COMPLETE EDITION,PS3,TBD
MOUNT & BLADE: WARBAND,PS4,TBD
MOUSECRAFT,PS4,TBD
MUDRUNNER,PS4,TBD
MX VS ATV SUPERCROSS ENCORE ,PS4,TBD
MX VS ATV: ALIVE,PS3,TBD
MX VS ATV: UNTAMED,PS3,TBD
MX VS. ATV: REFLEX,PS3,TBD
MXGP – THE OFFICIAL MOTOCROSS VIDEOGAME,PS3,TBD
MXGP2 - THE OFFICIAL MOTOCROSS VIDEOGAME,PS4,TBD
MXGP3 – THE OFFICIAL MOTOCROSS VIDEOGAME,PS4,TBD
MYSTERY CHRONICLE: ONE WAY HEROICS,PS4,TBD
NASCAR HEAT 3,PS4,TBD
NASCAR HEAT 4,PS4,TBD
NATURAL DOCTRINE,PS4,TBD
NBA 2K18,PS4,TBD
NEED FOR SPEED RIVALS,PS3,TBD
NEON CHROME,PS4,TBD
NEUROVOIDER,PS4,TBD
NIDHOGG,PS4,TBD
NIGHTMARES FROM THE DEEP 2: THE SIREN`S CALL,PS4,TBD
NIGHTMARES FROM THE DEEP: THE CURSED HEART,PS4,TBD
NIGHTS INTO DREAMS,PS3,TBD
NIGHTS OF AZURE,PS4,TBD
NIGHTS OF AZURE 2: BRIDE OF THE NEW MOON,PS4,TBD
NINJA GAIDEN 3: RAZOR'S EDGE,PS3,TBD
NINJA GAIDEN SIGMA 2,PS3,TBD
NINJA PIZZA GIRL,PS4,TBD
NO TIME TO EXPLAIN,PS4,TBD
NOBUNAGA'S AMBITION : SPHERE OF INFLUENCE,PS3,TBD
NOM NOM GALAXY,PS4,TBD
NOVA-111,PS4,TBD
NUMBLAST ,PS3,TBD
OBLITERACERS,PS4,TBD
ODDWORLD: STRANGER'S WRATH HD,PS3,TBD
OF ORCS AND MEN,PS3,TBD
OKAGE: SHADOW KING (PS2 Classics),PS2/PS4,TBD
OLLIOLLI,PS4,TBD
OLLIOLLI2: WELCOME TO OLLIWOOD,PS4,TBD
OMEGA_QUINTET,PS4,TBD
OPERATION FLASHPOINT: DRAGON RISING,PS3,TBD
OPERATION FLASHPOINT: RED RIVER,PS3,TBD
ORDER UP!!,PS3,TBD
OVERCOOKED! 2,PS4,TBD
OVERLORD II,PS3,TBD
OVERLORD RAISING HELL,PS3,TBD
OVERLORD: FELLOWSHIP OF EVIL,PS4,TBD
PAC-MAN CHAMPIONSHIP EDITION 2,PS4,TBD
PAINKILLER HELL & DAMNATION,PS3,TBD
PANG ADVENTURES,PS4,TBD
PAPO & YO ,PS3,TBD
PAYDAY 2: CRIMEWAVE EDITION,PS4,TBD
PHARAONIC,PS4,TBD
PHINEAS AND FERB ACROSS THE 2ND DIMENSION,PS3,TBD
PID ,PS3,TBD
PILLARS OF ETERNITY: COMPLETE EDITION,PS4,TBD
PIRATES OF THE CARIBBEAN: AT WORLD'S END,PS3,TBD
PIX THE CAT,PS4,TBD
PIXEL HEROES: BYTE & MAGIC,PS4,TBD
PIXEL PIRACY,PS4,TBD
PIXELJUNK EDEN FULLY GROWN EDITION,PS3,TBD
